,susceptible,total infected,currently infected,symptomatic,quarantined,hospitalized,recovered,vaccinated,transmitter,deceased
132,18065,1698,81,5,46,0,1544,80529,0,9
133,18055,1709,85,5,46,0,1551,80529,1,9
134,18050,1714,83,5,45,0,1558,80529,1,9
135,18039,1726,84,4,36,0,1569,80529,2,9
136,18019,1747,99,2,39,0,1574,80529,2,9
137,18005,1763,108,2,42,0,1581,80529,4,9
138,17998,1771,110,2,47,0,1586,80529,4,9
139,17987,1784,113,1,44,0,1595,80529,5,9
140,17975,1799,119,3,46,0,1602,80529,6,9
141,17965,1809,122,5,58,0,1608,80529,5,9
142,17950,1824,134,7,69,0,1609,80529,3,9
143,17942,1833,134,7,70,0,1615,80529,1,9
144,17931,1845,136,8,70,0,1625,80529,2,9
145,17923,1854,135,10,70,0,1635,80529,3,9
146,17914,1863,138,12,73,0,1640,80529,2,9
147,17904,1873,136,13,76,0,1651,80529,1,9
148,17894,1884,126,10,67,0,1671,80529,1,9
149,17887,1891,119,8,66,0,1685,80529,1,9
150,17881,1899,120,8,67,0,1692,80529,3,9
151,17871,1911,120,9,64,0,1703,80529,4,9
152,17863,1921,118,7,64,0,1715,80529,6,9
153,17857,1927,112,5,66,0,1725,80529,4,9
154,17853,1932,100,2,61,0,1740,80529,3,9
155,17850,1936,94,2,59,0,1748,80529,2,9
156,17849,1937,84,3,57,0,1759,80529,2,9
157,17847,1940,78,5,55,0,1767,80529,2,9
158,17847,1940,68,4,53,0,1776,80529,1,9
159,17843,1944,62,4,47,0,1786,80529,1,9
160,17841,1946,53,4,40,0,1796,80529,0,9
161,17841,1946,46,4,34,0,1803,80529,0,9
162,17837,1950,44,4,30,0,1809,80529,0,9
163,17834,1953,37,3,21,0,1819,80529,0,9
164,17829,1958,34,3,17,0,1827,80529,0,9
165,17827,1960,30,2,14,0,1833,80529,0,9
166,17825,1962,28,2,10,0,1837,80529,0,9
167,17823,1965,28,4,9,0,1840,80529,1,9
168,17820,1968,30,4,11,0,1841,80529,1,9
169,17817,1971,31,4,14,0,1843,80529,1,9
170,17814,1974,33,4,16,0,1843,80529,0,9
171,17812,1976,31,2,16,0,1847,80529,0,9
172,17809,1979,32,3,15,0,1849,80529,0,9
173,17808,1980,33,3,18,0,1849,80529,0,9
174,17804,1984,33,1,19,0,1853,80529,0,9
175,17799,1989,35,1,19,0,1856,80529,0,9
176,17797,1991,32,1,16,0,1861,80529,0,9
177,17794,1995,34,1,17,0,1863,80529,1,9
178,17793,1996,33,1,16,0,1865,80529,1,9
179,17785,2004,39,0,19,0,1867,80529,1,9
180,17781,2008,39,0,21,0,1870,80529,0,9
181,17775,2015,43,0,20,0,1873,80529,1,9
182,17774,2016,41,0,20,0,1876,80529,1,9
183,17772,2018,41,0,19,0,1878,80529,1,9
184,17766,2024,43,1,23,0,1881,80529,0,9
185,17765,2026,44,2,25,0,1882,80529,1,9
186,17764,2027,41,3,26,0,1886,80529,1,9
187,17758,2033,42,3,22,0,1891,80529,1,9
188,17752,2039,45,3,22,0,1893,80529,0,9
189,17748,2043,46,3,25,0,1896,80529,0,9
190,17745,2048,50,3,25,0,1897,80529,2,9
191,17739,2054,48,2,19,0,1905,80529,2,9
192,17735,2059,49,1,22,0,1909,80529,3,9
193,17733,2061,43,0,23,0,1915,80529,1,9
194,17728,2066,47,2,24,0,1916,80529,1,9
195,17721,2073,51,2,25,0,1918,80529,0,9
196,17715,2079,51,2,25,0,1924,80529,0,9
197,17710,2084,55,2,28,0,1925,80529,0,9
198,17709,2086,56,2,29,0,1926,80529,1,9
199,17703,2092,56,3,27,0,1932,80529,1,9
200,17697,2098,56,4,27,0,1938,80529,1,9
201,17693,2102,55,4,29,0,1942,80529,0,9
202,17688,2107,57,4,31,0,1945,80529,0,9
203,17682,2115,59,4,26,0,1951,80529,2,9
204,17674,2123,63,4,28,0,1955,80529,2,9
205,17668,2129,67,5,31,0,1957,80529,2,9
206,17662,2136,67,5,30,0,1962,80529,1,9
207,17652,2146,70,4,29,0,1969,80529,1,9
208,17645,2153,71,2,31,0,1975,80529,1,9
209,17641,2157,69,2,34,0,1980,80529,0,9
210,17636,2162,73,3,38,0,1981,80529,0,9
211,17631,2168,73,5,36,0,1987,80529,1,9
212,17626,2173,72,6,39,0,1993,80529,1,9
213,17621,2179,74,7,41,0,1997,80529,2,9
214,17613,2188,77,8,39,0,2002,80529,2,9
215,17605,2196,79,10,36,0,2008,80529,2,9
216,17595,2206,80,11,32,0,2016,80529,1,9
217,17589,2215,82,10,32,0,2022,80529,3,9
218,17581,2223,84,8,33,0,2028,80529,3,9
219,17579,2225,76,6,33,0,2038,80529,3,9
220,17570,2235,76,4,36,0,2045,80529,1,9
221,17563,2244,81,5,41,0,2049,80529,3,9
222,17559,2248,80,4,43,0,2054,80529,3,9
223,17555,2252,78,4,46,0,2059,80529,2,9
224,17550,2257,76,4,43,0,2064,80529,0,9
225,17547,2260,74,4,47,0,2069,80529,0,9
226,17545,2262,68,4,46,0,2077,80529,0,9
227,17538,2269,67,4,42,0,2085,80529,0,9
228,17530,2277,65,3,37,0,2095,80529,0,9
229,17525,2282,64,2,37,0,2101,80529,0,9
230,17521,2286,60,1,33,0,2109,80529,0,9
